Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X]
21:15;Gil Vicente vs Casa Pia;Portugal 1;1.61 (1);85.0;5.0;10.0
19:00;Besiktas Stambuł vs Fatih Karagümrük;Turkey 1;1.33 (1);75.0;10.0;15.0
03:05;Cruz Azul vs Necaxa;Mexico 1;1.36 (1);70.0;15.0;15.0
19:00;Chaves vs Oliveirense;Portugal 2;1.55 (1);70.0;15.0;15.0
14:00;Persija Jakarta vs Persis Solo;Indonesia 1;1.3 (1);70.0;5.0;25.0
14:30;Zoria Ługańsk vs Veres Rivne;Ukraine 1;1.83 (1);65.0;20.0;15.0
02:00;Union Espanola vs Deportes Santa Cruz;Chile 2;1.8 (1);55.0;25.0;20.0
20:30;Cadiz vs Las Palmas;Spain 2;2.15 (2);30.0;55.0;15.0
jutro 00:30;Defensor Sporting vs Club Atletico Progreso;Uruguay 1;1.85 (1);55.0;20.0;25.0
19:00;Konyaspor vs Trabzonspor;Turkey 1;2.2 (2);35.0;55.0;10.0
22:00;Asociacion Deportiva Tarma vs Santa Rosa de Andahuaylas;Peru 1;2.87 (2);25.0;50.0;25.0
18:00;Ruch Chorzów vs Pogon Grodzisk Mazowiecki;Poland 2;1.7 (1);50.0;10.0;40.0
10:30;Bali United Pusam vs PSM Makassar;Indonesia 1;1.9 (1);50.0;20.0;30.0
21:00;Manchester United vs Brentford;England 1;1.85 (1);50.0;15.0;35.0
19:00;Piast Gliwice vs Arka Gdynia;Poland 1;4.1 (2);30.0;45.0;25.0
18:00;HNK Gorica vs NK Istra 1961;Croatia 1;1.85 (1);45.0;30.0;25.0
18:30;Cagliari vs Atalanta;European Championship U-21 1;1.75 (2);20.0;45.0;35.0
23:30;Manta vs Universidad Catolica;Ecuador 1;1.83 (2);20.0;40.0;40.0
21:00;Espanyol vs Levante;Spain 1;3.8 (2);40.0;10.0;50.0
20:45;Boulogne vs Dunkerque;France 2;2.62 (1);40.0;25.0;35.0
17:30;Hebar vs Chernomorets 1919 Burgas;Bulgaria 2;3.3 (2);40.0;35.0;25.0
16:00;Bochum II vs Borussia Moenchengladbach II;Germany 4;2.55 (2);35.0;35.0;30.0
16:00;Alanyaspor vs Samsunspor;Turkey 1;2.37 (1);35.0;35.0;30.0
23:45;Velez Sarsfield vs Union;Argentina 1;2.2 (1);25.0;35.0;40.0
20:45;Lazio Rzym vs Udinese;European Championship U-21 1;2.0 (1);30.0;25.0;45.0
20:30;Central Ballester vs El Porvenir;Argentina 4;3.0 (2);25.0;25.0;50.0
