Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu
19:00;Lokomotive Leipzig vs Hertha Zehlendorf;Germany 4;1.25 (1);81.5;6.1;12.4;1
19:00;VSG Altglienicke vs FC Eilenburg;Germany 4;1.4 (1);76.3;6.6;17.2;1
14:30;Spartak Pleven vs Belasitsa Petrich;Bulgaria 2;3.9 (2);59.4;15.3;25.3;1
20:45;Southend United vs Woking;England 5;1.6 (1);56.1;16.2;27.7;1
14:30;Sevlievo vs Sportist Svoge;Bulgaria 2;5.25 (2);52.7;28.6;18.7;1
20:45;Wealdstone vs Yeovil Town;England 5;1.8 (1);51.5;17.5;31.0;1
20:45;Scunthorpe United vs Rochdale;England 5;2.0 (2);20.8;50.8;28.4;2
20:45;Farnborough vs Chelmsford;England 6;1.85 (2);25.4;48.5;26.1;2
19:00;Greifswalder SV vs Magdeburg II;Germany 4;2.05 (1);48.3;19.4;32.4;1
18:00;Schoeningen vs Kickers Emden;Germany 4;2.0 (2);28.4;46.9;24.7;2
23:00;Deportivo Riestra vs San Lorenzo;Argentina 1;3.6 (2);45.0;14.3;40.7;1
20:45;Tamworth vs Forest Green Rovers;England 5;3.5 (1);44.7;36.1;19.2;1
19:00;BFC Dynamo vs FSV Luckenwalde;Germany 4;2.3 (1);43.5;30.0;26.5;1
14:30;CSKA Sofia II vs Dunav Ruse;Bulgaria 2;2.25 (2);29.5;43.1;27.4;2
20:45;Morecambe vs Hartlepool United;England 5;2.2 (2);31.8;40.9;27.3;2
02:30;Atletico Choloma vs Policia NFC;Honduras 1;2.3 (1);36.9;40.8;22.4;2
20:45;Truro City vs Solihull Moors;England 5;2.2 (2);40.7;40.2;19.1;1
19:00;Bonner SC vs Bochum II;Germany 4;2.1 (1);38.6;21.3;40.2;X
02:00;Fortaleza FC vs Deportivo Pasto;Colombia 1;2.25 (1);32.0;37.9;30.1;2
22:00;Deportiva Carmelita vs Desamparados;Costa Rica 2;2.3 (1);35.9;33.9;30.2;1
21:00;Brechin City vs Formartine Utd;Scotland 5;3.1 (2);35.6;30.4;34.0;1
