Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;ogółem;PRAWDA;FALSZ;REMIS;Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
jutro 18:30;Orlando Pirates vs Richards Bay;South Africa 1;1.3 (1);90.0;0.0;10.0;2.0;0.0;;PRAWDA;1.0;34;17;8;7;1;1;2:0;WYGRANA;30.0
jutro 11:30;Hatayspor vs Sivasspor;Turkey 2;1.16 (2);10.0;85.0;5.0;1.0;2.0;;PRAWDA;1.0;100%-35%;50;23,52941176;20,58823529;2;2;1:2;WYGRANA;15.999999999999986
jutro 20:00;Waasland-Beveren vs RWDM Brussels FC;Belgium 2;1.33 (1);85.0;0.0;15.0;3.0;2.0;;PRAWDA;1.0;;PRAWDA;FALSZ;REMIS;1;1;3:2;WYGRANA;33.0
jutro 21:00;Coventry City vs Preston North End;England 2;1.45 (1);85.0;10.0;5.0;3.0;0.0;;PRAWDA;1.0;9;5;2;2;1;1;3:0;WYGRANA;45.0
jutro 11:30;İstanbulspor vs Amed SK;Turkey 2;1.8 (2);5.0;80.0;15.0;0.0;4.0;;PRAWDA;1.0;100%-70%;55,55555556;22,22222222;22,22222222;2;2;0:4;WYGRANA;80.0
jutro 14:00;Umraniyespor vs Erzurum BB;Turkey 2;1.65 (2);0.0;75.0;25.0;3.0;1.0;;FAŁSZ;2.0;;;;;2;1;3:1;PRZEGRANA;-100.0
jutro 20:45;Middlesbrough vs Charlton Athletic;England 2;1.38 (1);75.0;5.0;20.0;0.0;1.0;;FALSZ;2.0;;;;;1;2;0:1;PRZEGRANA;-100.0
jutro 14:30;PSIM Yogyakarta vs Persijap;Indonesia 1;1.75 (1);75.0;10.0;15.0;0.0;0.0;;REMIS;0.0;;;;;1;X;2:2;PRZEGRANA;-100.0
jutro 01:00;Real Cartagena vs Internacional Palmira;Colombia 2;6.0 (2);70.0;10.0;20.0;2.0;2.0;;REMIS;0.0;;;;;1;X;2:2;PRZEGRANA;-100.0
jutro 19:00;VSG Altglienicke vs FSV Luckenwalde;Germany 4;4.0 (2);65.0;10.0;25.0;0.0;2.0;;FALSZ;2.0;;;;;1;2;0:2;PRZEGRANA;-100.0
jutro 19:00;Antequera vs Algeciras;Spain 3;3.3 (2);55.0;35.0;10.0;2.0;0.0;;PRAWDA;1.0;;;;;1;1;2:0;WYGRANA;0.0
jutro 19:00;Real Murcia vs Marbella FC;Spain 3;1.65 (1);55.0;15.0;30.0;1.0;1.0;;REMIS;0.0;;;;;1;X;1:1;PRZEGRANA;-100.0
jutro 20:30;ENPPI vs El Zamalek;Egypt 1;1.83 (2);20.0;55.0;25.0;1.0;0.0;;FALSZ;2.0;;;;;2;1;1:0;PRZEGRANA;-100.0
jutro 18:00;Keçiörengücü vs Sakaryaspor;Turkey 2;1.66 (1);55.0;25.0;20.0;1.0;1.0;;REMIS;0.0;;;;;1;X;1:1;PRZEGRANA;-100.0
jutro 23:45;Boca Juniors vs San Lorenzo;Argentina 1;1.65 (1);50.0;25.0;25.0;;;live;;;;;;;1;X;1:1;PRZEGRANA;-100.0
jutro 22:00;Mictlán vs Aurora;Guatemala 1;4.0 (2);50.0;15.0;35.0;1.0;1.0;live;REMIS;1.0;;;;;1;1;2:0;WYGRANA;0.0
jutro 20:00;Jong Gent vs Lommel;Belgium 2;1.9 (2);20.0;50.0;30.0;2.0;2.0;;REMIS;0.0;;;;;2;X;2:2;PRZEGRANA;-100.0
jutro 02:00;Newells Old Boys vs Club Atletico Platense;Argentina 1;2.87 (2);45.0;30.0;25.0;1.0;1.0;;REMIS;0.0;;;;;1;X;1:1;PRZEGRANA;-100.0
jutro 20:45;Port Vale vs Bradford City;England 3;2.25 (2);35.0;45.0;20.0;0.0;2.0;;PRAWDA;1.0;;;;;2;2;0:2;WYGRANA;125.0
jutro 20:30;Masr vs Coca Cola;Egypt 1;2.5 (1);45.0;20.0;35.0;2.0;0.0;;PRAWDA;1.0;;;;;1;1;2:0;WYGRANA;150.0
jutro 20:45;West Bromwich Albion vs Southampton;England 2;2.4 (2);45.0;20.0;35.0;1.0;1.0;;remis;0.0;;;;;1;X;1:1;PRZEGRANA;-100.0
jutro 12:00;Kitayosce vs Namungo FC;Tanzania 1;2.05 (1);45.0;20.0;35.0;2.0;0.0;;PRAWDA;1.0;;;;;1;1;2:0;WYGRANA;104.99999999999997
jutro 02:30;Atletico Junior vs Atletico Nacional;Colombia 1;2.55 (1);30.0;45.0;25.0;0.0;4.0;;PRAWDA;1.0;;;;;2;2;0:4;WYGRANA;0.0
jutro 20:45;AFC Wimbledon vs Blackpool;England 3;2.15 (1);40.0;40.0;20.0;4.0;1.0;;PRAWDA;1.0;;;;;1;1;4:1;WYGRANA;115.0
jutro 20:00;Olympic Charleroi vs Seraing United;Belgium 2;2.6 (2);40.0;30.0;30.0;2.0;4.0;;FALSZ;2.0;;;;;1;2;2:4;PRZEGRANA;-100.0
jutro 14:30;Free State Stars vs University of Pretoria;South Africa 2;1.66 (1);40.0;10.0;50.0;1.0;2.0;;FALSZ;2.0;;;;;X;2;1:2;PRZEGRANA;-100.0
jutro 19:30;Bavois vs Kriens;Switzerland 3;2.5 (2);25.0;40.0;35.0;2.0;0.0;;FALSZ;2.0;;;;;2;1;2:0;PRZEGRANA;-100.0
jutro 21:30;Banfield vs Gimnasia LP;Argentina 1;2.3 (1);25.0;40.0;35.0;1.0;2.0;;PRAWDA;1.0;;;;;2;2;1:2;WYGRANA;0.0
jutro 02:00;Sarmiento vs Racing Club;Argentina 1;2.1 (2);35.0;35.0;30.0;0.0;0.0;;PRAWDA;1.0;;;;;1;X;0:0;PRZEGRANA;-100.0
jutro 20:45;Birmingham City vs Queens Park Rangers;England 2;1.72 (1);35.0;15.0;50.0;1.0;0.0;;falsz;2.0;;;;;X;1;1:0;PRZEGRANA;-100.0
jutro 20:45;Oxford United vs Blackburn Rovers;England 2;2.7 (1);35.0;35.0;30.0;1.0;0.0;;PRAWDA;1.0;;;;;1;1;1:0;WYGRANA;170.0
jutro 23:45;Atletico FC vs Orsomarso;Colombia 2;2.7 (2);35.0;30.0;35.0;;;;;;;;;;1;X;1:1;PRZEGRANA;-100.0
jutro 20:45;Norwich City vs Sheffield United;England 2;2.55 (1);35.0;30.0;35.0;2.0;1.0;;PRAWDA;1.0;;;;;1;1;2:1;WYGRANA;154.99999999999997
jutro 21:30;Argentinos Juniors vs Rosario Central;Argentina 1;2.1 (1);30.0;5.0;65.0;0.0;0.0;;PRAWDA;1.0;;;;;X;X;0:0;WYGRANA;0.0
