Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Unnamed: 7;Unnamed: 8;Unnamed: 9;Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
14:00;Voitsberg vs Treibach;Austria 3;1.06 (1);90.0;10.0;0.0;;;PRAWDA;1;1;3:1;WYGRANA;6.0
16:00;Needham Market vs St. Ives Town FC;England 7;1.42 (1);85.0;10.0;5.0;;;PRAWDA;1;1;3:1;WYGRANA;42.0
16:00;Cambridge United vs Gillingham;England 4;1.57 (1);85.0;5.0;10.0;;;PRAWDA;1;1;5:0;WYGRANA;57.0
14:30;Belasitsa Petrich vs Dunav Ruse;Bulgaria 2;1.28 (2);5.0;85.0;10.0;;;PRAWDA;2;2;1:2;WYGRANA;28.0
20:00;Al Khaleej vs Al Nassr FC;Saudi Arabia 1;1.3 (2);5.0;85.0;10.0;;;PRAWDA;2;2;0:5;WYGRANA;30.0
16:00;Inverness CT vs Cove Rangers;Scotland 3;1.3 (1);85.0;5.0;10.0;1.0;1.0;REMIS;1;X;1:1;PRZEGRANA;-100.0
20:00;Kortrijk vs Olympic Charleroi;Belgium 2;1.33 (1);80.0;15.0;5.0;;;PRAWDA;1;1;3:1;WYGRANA;33.0
16:00;Sheffield Wednesday vs Ipswich Town;England 2;1.22 (2);10.0;80.0;10.0;;;PRAWDA;2;2;0:2;WYGRANA;22.0
18:00;Thun vs Grasshopper;Switzerland 1;1.6 (1);80.0;5.0;15.0;;;PRAWDA;1;1;5:1;WYGRANA;60.0
14:00;Bahlinger SC vs Freiberg;Germany 4;1.3 (2);20.0;75.0;5.0;2.0;2.0;REMIS;2;X;2:2;PRZEGRANA;-100.0
20:00;Al Fateh FC vs Al Hilal;Saudi Arabia 1;1.25 (2);15.0;75.0;10.0;;;PRAWDA;2;2;0:1;WYGRANA;25.0
16:00;Fleetwood Town vs Tranmere Rovers;England 4;1.7 (1);70.0;15.0;15.0;0.0;0.0;REMIS;1;X;0:0;PRZEGRANA;-100.0
14:15;Botew Płowdiw vs Botev Vratsa;Bulgaria 1;1.72 (1);70.0;15.0;15.0;1.0;3.0;FALSZ;1;2;1:3;PRZEGRANA;-100.0
