Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];  ;Unnamed: 8;Unnamed: 9;Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
15:00;Nk Brinje Grosuplje vs ND Slovan Ljubljana;Slovenia 2;1.28 (1);95.0;5.0;0.0;;;PRAWDA;1;1;2:1;WYGRANA;28.0
15:00;AC Palermo vs Paterno;Italy 4;1.27 (1);95.0;0.0;5.0;;;PRAWDA;1;1;4:2;WYGRANA;27.0
14:30;Brunei DPMM vs Johor Darul Ta'zim FC;Malaysia 1;1.04 (2);5.0;90.0;5.0;;;PRAWDA;2;2;0:3;WYGRANA;4.0
08:30;WSE vs Kwun Tong;Hong Kong 2;1.04 (1);90.0;10.0;0.0;;;PRAWDA;1;1;9:1;WYGRANA;4.0
20:00;Panathinaikos Ateny vs Panaitolikos;Greece 1;1.3 (1);90.0;5.0;5.0;0.0;0.0;REMIS;1;X;0:0;PRZEGRANA;-100.0
14:30;Benevento vs Foggia;Italy 3;1.16 (1);90.0;0.0;10.0;;;PRAWDA;1;1;1:0;WYGRANA;15.999999999999986
01:00;Sporting Lizbona vs Tondela;Portugal 1;1.14 (1);90.0;5.0;5.0;;;;1;Brak/Odwolany;-;Odwolany;0.0
17:30;Liverpool FC vs Tottenham Hotspur;England 1;1.28 (1);85.0;0.0;15.0;1.0;1.0;REMIS;1;X;1:1;PRZEGRANA;-100.0
02:00;Toluca vs Atlas;Mexico 1;1.38 (1);85.0;5.0;10.0;;;REMIS;1;X;1:1;PRZEGRANA;-100.0
16:30;SC Verl vs FC Schweinfurt;Germany 3;1.22 (1);85.0;10.0;5.0;;;PRAWDA;1;1;4:0;WYGRANA;22.0
13:30;Balestier Khalsa FC vs Home United FC;Singapore 1;1.18 (2);0.0;80.0;20.0;;;PRAWDA;2;2;0:3;WYGRANA;18.0
06:30;Supreme vs 3 Sing;Hong Kong 2;1.02 (1);80.0;0.0;20.0;;;;1;1;6:0;WYGRANA;2.0
17:00;FK IMT Beograd vs Crvena Zvezda Belgrad;Serbia 1;1.16 (2);15.0;80.0;5.0;;;PRAWDA;2;2;1:2;WYGRANA;15.999999999999986
16:00;Atert Bissen vs Union Titus Petange;Luxembourg 1;1.48 (1);75.0;0.0;25.0;;;PRAWDA;1;1;2:0;WYGRANA;48.0
17:45;Rijeka vs NK Istra 1961;Croatia 1;1.53 (1);75.0;15.0;10.0;;;FALSZ;1;2;0:2;PRZEGRANA;-100.0
06:30;Lucky Mile vs Sham Shui Po;Hong Kong 2;1.07 (2);10.0;75.0;15.0;;;PRAWDA;2;2;0:2;WYGRANA;7.0
13:15;Viettel vs Hai Phong;Vietnam 1;1.6 (1);75.0;15.0;10.0;;;PRAWDA;1;1;1:0;WYGRANA;60.0
16:00;Beroe vs Lewski Sofia;Bulgaria 1;1.28 (2);10.0;70.0;20.0;;;PRAWDA;2;2;0:1;WYGRANA;28.0
21:30;FC Porto vs Moreirense;Portugal 1;1.18 (1);70.0;0.0;30.0;;;PRAWDA;1;1;3:0;WYGRANA;18.0
16:00;Zeleznicar Pancevo vs Mladost Lucani;Serbia 1;1.7 (1);70.0;5.0;25.0;;;PRAWDA;1;1;5:0;WYGRANA;70.0
13:30;Czerno More Warna vs Montana;Bulgaria 1;1.4 (1);70.0;15.0;15.0;;;PRAWDA;1;1;1:0;WYGRANA;40.0
17:00;PSG vs Nantes;France 1;1.18 (1);70.0;15.0;15.0;;;;1;Brak/Odwolany;-;Odwolany;0.0
09:30;Hong Kong FC vs Warriors;Hong Kong 1;1.09 (2);10.0;70.0;20.0;;;PRAWDA;2;2;0:4;WYGRANA;9.000000000000014
01:00;Old Road Jets United vs Newtown United;St. Kitts and Nevis 1;1.36 (1);70.0;5.0;25.0;;;PRAWDA;1;1;3:1;WYGRANA;36.0
15:30;Viktoria Pilzno vs Bohemians 1905;Czech Republic 1;1.45 (1);70.0;20.0;10.0;;;PRAWDA;1;1;2:0;WYGRANA;45.0
21:30;Portmore United vs Harbour View;Jamaica 1;1.4 (1);70.0;15.0;15.0;;;PRAWDA;1;1;4:2;WYGRANA;40.0
14:30;AZ Picerno ASD vs Trapani;Italy 3;1.72 (1);65.0;15.0;20.0;;;;1;X;1:1;PRZEGRANA;-100.0
13:30;Geylang International FC vs Albirex Niigata FC;Singapore 1;1.66 (2);25.0;65.0;10.0;;;;2;1;1:0;PRZEGRANA;-100.0
02:30;Santa Fe vs Alianza Petrolera;Colombia 1;1.5 (1);65.0;10.0;25.0;;;;1;X;1:1;PRZEGRANA;-100.0
15:30;1Âº de Maio vs 1º de Agosto;Angola 1;1.4 (2);10.0;65.0;25.0;;;;2;X;1:1;PRZEGRANA;-100.0
23:00;Widad Temara vs Racing de Casablanca;Morocco 2;1.75 (1);60.0;15.0;25.0;;;;1;1;1:0;WYGRANA;75.0
15:00;Manchester United vs Aston Villa;England 1;1.7 (1);60.0;5.0;35.0;;;;1;1;3:1;WYGRANA;70.0
15:00;FK Gabala vs FK Neftczi;Azerbaijan 1;1.66 (2);25.0;60.0;15.0;;;;2;2;1:3;WYGRANA;66.0
15:00;Vora vs Partizani;Albania 1;2.1 (2);20.0;55.0;25.0;;;;2;X;2:2;PRZEGRANA;-100.0
13:30;Ulinzi Stars vs Gor Mahia;Kenya 1;1.65 (2);20.0;55.0;25.0;;;;2;2;1:3;WYGRANA;65.0
14:00;Mornar vs Budućnost Podgorica;Montenegro 1;2.55 (1);35.0;55.0;10.0;;;;2;1;3:0;PRZEGRANA;-100.0
16:00;Bayelsa United vs Warri Wolves FC;Nigeria 1;1.55 (1);55.0;25.0;20.0;;;;1;1;2:1;WYGRANA;55.0
20:30;AS Biellese 1902 vs Celle Varazze;Italy 4;1.9 (1);30.0;55.0;15.0;;;;2;1;6:1;PRZEGRANA;-100.0
18:15;UD Ibiza vs Marbella FC;Spain 3;1.42 (1);55.0;20.0;25.0;;;;1;2;0:1;PRZEGRANA;-100.0
12:00;Alcorcon vs Algeciras;Spain 3;1.75 (1);55.0;10.0;35.0;;;;1;X;0:0;PRZEGRANA;-100.0
17:00;PAOK Saloniki vs Levadiakos;Greece 1;1.3 (1);55.0;25.0;20.0;;;;1;1;3:0;WYGRANA;30.0
14:00;Zesco United vs NAPSA Stars FC;Zambia 1;1.8 (1);55.0;25.0;20.0;;;;1;Brak/Odwolany;-;Odwolany;0.0
14:30;Seravezza vs Poggibonsi;Italy 4;1.53 (1);50.0;25.0;25.0;;;;1;X;2:2;PRZEGRANA;-100.0
15:00;OH Leuven U23 vs Ninove;Belgium 3;1.66 (1);50.0;25.0;25.0;;;;1;2;1:4;PRZEGRANA;-100.0
17:30;Audace Cerignola vs Sorrento;Italy 3;1.55 (1);50.0;15.0;35.0;;;;1;1;3:2;WYGRANA;55.0
16:30;FC Luzern vs Winterthur;Switzerland 1;1.38 (1);50.0;25.0;25.0;;;;1;2;1:2;PRZEGRANA;-100.0
12:00;FC Kapaz vs Turan Tovuz;Azerbaijan 1;1.53 (2);35.0;50.0;15.0;;;;2;X;1:1;PRZEGRANA;-100.0
15:30;Sigma Ołomuniec vs Karvina;Czech Republic 1;1.95 (1);20.0;50.0;30.0;;;;2;X;2:2;PRZEGRANA;-100.0
15:00;Entella vs Avellino;Italy 2;2.25 (1);50.0;30.0;20.0;;;;1;2;1:2;PRZEGRANA;-100.0
17:30;Star Sport Academy vs Diamond Stars;Sierra Leone 1;1.57 (1);50.0;20.0;30.0;;;;1;1;2:0;WYGRANA;57.0
18:30;Malaga CF vs Huesca;Spain 2;1.7 (1);50.0;15.0;35.0;;;;1;1;5:3;WYGRANA;70.0
11:30;Erzurum BB vs Hatayspor;Turkey 2;2.45 (1);45.0;25.0;30.0;;;;1;1;3:0;WYGRANA;145.00000000000003
12:00;PVF-CAND II vs Long An;Vietnam 2;2.15 (1);45.0;20.0;35.0;;;;1;1;2:1;WYGRANA;115.0
15:00;Pisa vs Cagliari;European Championship U-21 1;3.1 (2);45.0;20.0;35.0;;;;1;1;3:1;WYGRANA;0.0
17:30;Virtus Verona vs Renate;Italy 3;1.95 (2);30.0;45.0;25.0;;;;2;X;2:2;PRZEGRANA;-100.0
14:30;Vogherese vs Scanzorosciate;Italy 4;2.05 (2);35.0;45.0;20.0;;;;2;2;1:6;WYGRANA;104.99999999999997
14:30;Tuttocuoio vs Pro Palazzolo;Italy 4;1.5 (2);10.0;45.0;45.0;;;;2;2;0:4;WYGRANA;50.0
15:00;Lavagnese vs ASD Imperia;Italy 4;2.45 (2);45.0;35.0;20.0;;;;1;1;2:1;WYGRANA;0.0
17:30;Cittadella vs Dolomiti Bellunesi;Italy 3;1.6 (1);45.0;25.0;30.0;;;;1;1;2:1;WYGRANA;60.0
15:15;Valmontone vs Anzio;Italy 4;3.1 (2);30.0;40.0;30.0;;;;2;X;1:1;PRZEGRANA;-100.0
13:00;Novi Pazar vs Cukaricki;Serbia 1;2.1 (1);40.0;40.0;20.0;;;;1;X;1:1;PRZEGRANA;-100.0
14:30;Vigor Lamezia vs CastrumFavara;Italy 4;2.0 (1);20.0;40.0;40.0;;;;2;2;1:2;WYGRANA;0.0
15:00;Royal Knokke FC vs Cercle Brugge II;Belgium 3;1.9 (1);40.0;25.0;35.0;;;;1;1;2:1;WYGRANA;90.0
16:00;Luanda City vs Kabuscorp;Angola 1;1.8 (2);35.0;35.0;30.0;;;;1;1;2:1;WYGRANA;0.0
15:00;Hoogstraten vs Merelbeke;Belgium 3;2.05 (1);35.0;25.0;40.0;;;;X;1;2:0;PRZEGRANA;-100.0
18:30;Eibar vs Burgos CF;Spain 2;2.05 (1);35.0;30.0;35.0;;;;1;X;0:0;PRZEGRANA;-100.0
