Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
21 kwi;Hajduk Split vs Osijek;Croatia 1;1.3 (1);72.4;10.7;16.9;1;✅ OBA ZGODNE (1);72.0;16.0;12.0;72.6;17.5;9.9;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Real Madryt vs Alaves;Spain 1;1.22 (1);71.4;12.4;16.1;1;✅ OBA ZGODNE (1);76.0;8.0;16.0;68.4;21.6;10.1;Brak/Odwolany;-;Odwolany;0.0
22 kwi;Academia Puerto Cabello vs Trujillanos FC;Venezuela 1;1.33 (1);69.6;10.5;19.9;1;✅ OBA ZGODNE (1);68.0;20.0;12.0;70.7;19.8;9.5;Brak/Odwolany;-;Odwolany;0.0
22 kwi;Brittons Hill vs Bagatelle;Barbados 1;1.4 (1);68.6;12.6;18.8;1;✅ OBA ZGODNE (1);76.0;12.0;12.0;63.7;23.3;13.0;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Stockport vs Mansfield Town;England 3;1.48 (1);68.3;18.0;13.7;1;✅ OBA ZGODNE (1);72.0;8.0;20.0;65.8;17.6;16.7;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Rotherham United vs Luton Town;England 3;1.5 (2);18.3;67.5;14.2;2;✅ OBA ZGODNE (2);24.0;8.0;68.0;14.5;18.3;67.2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Southampton vs Bristol City;England 2;1.4 (1);63.0;10.9;26.1;1;✅ OBA ZGODNE (1);60.0;32.0;8.0;65.0;22.2;12.8;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Macclesfield vs Southport;England 6;4.5 (2);61.6;12.6;25.9;1;✅ OBA ZGODNE (1);68.0;24.0;8.0;57.3;27.1;15.6;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Naft Misan vs Al Najaf;Iraq 1;1.9 (1);58.3;14.9;26.8;1;✅ OBA ZGODNE (1);72.0;28.0;0.0;49.1;26.0;24.9;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Coventry City vs Portsmouth;England 2;1.61 (1);58.0;19.4;22.6;1;✅ OBA ZGODNE (1);64.0;20.0;16.0;54.0;24.4;21.6;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Athletic Bilbao vs Osasuna Pampeluna;Spain 1;4.5 (2);57.6;20.4;22.1;1;✅ OBA ZGODNE (1);64.0;16.0;20.0;53.3;26.1;20.6;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Torpedo Kutaisi vs FC Samgurali Tskhaltubo;Georgia 1;1.8 (1);54.8;19.7;25.6;1;✅ OBA ZGODNE (1);52.0;24.0;24.0;56.6;26.6;16.8;Brak/Odwolany;-;Odwolany;0.0
21 kwi;FC United of Manchester vs Stockton Town;England 7;1.83 (1);54.5;23.5;22.0;1;✅ OBA ZGODNE (1);60.0;16.0;24.0;50.9;26.0;23.1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Stoke City vs Millwall;England 2;1.85 (2);21.1;54.2;24.7;2;✅ OBA ZGODNE (2);12.0;24.0;64.0;27.2;25.1;47.6;Brak/Odwolany;-;Odwolany;0.0
21 kwi;West Bromwich Albion vs Watford;England 2;1.66 (1);53.6;15.3;31.1;1;✅ OBA ZGODNE (1);48.0;40.0;12.0;57.3;25.2;17.4;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Atherstone Town vs Gosport Borough;England 7;4.1 (1);16.6;52.5;30.9;2;✅ OBA ZGODNE (2);4.0;28.0;68.0;25.0;32.9;42.1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;FK Velez Mostar vs Siroki Brijeg;Bosnia-Herzegovina 1;1.72 (1);52.4;21.4;26.2;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;55.4;25.0;19.7;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Doncaster Rovers vs Lincoln;England 3;1.85 (2);21.8;51.5;26.7;2;✅ OBA ZGODNE (2);20.0;32.0;48.0;23.0;23.2;53.8;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Hartlepool United vs Southend United;England 5;1.83 (2);20.7;51.3;28.0;2;✅ OBA ZGODNE (2);16.0;32.0;52.0;23.9;25.4;50.8;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Dunfermline Athletic vs St.Johnstone;Scotland 2;1.7 (2);24.2;50.8;25.0;2;✅ OBA ZGODNE (2);24.0;24.0;52.0;24.3;25.6;50.0;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Rubio Nu vs Libertad;Paraguay 1;1.83 (2);26.6;50.6;22.9;2;✅ OBA ZGODNE (2);24.0;24.0;52.0;28.3;22.1;49.6;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Brighton & Hove Albion vs Chelsea;England 1;2.25 (1);50.4;20.9;28.8;1;✅ OBA ZGODNE (1);52.0;32.0;16.0;49.3;26.6;24.1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Queens Park Rangers vs Swansea City;England 2;2.2 (1);49.1;22.5;28.4;1;✅ OBA ZGODNE (1);60.0;28.0;12.0;41.8;28.6;29.6;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Stevenage vs Barnsley;England 3;1.83 (1);48.6;23.9;27.5;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;49.0;27.1;23.9;Brak/Odwolany;-;Odwolany;0.0
22 kwi;Libertad vs River Plate;Ecuador 1;2.1 (1);48.4;17.8;33.8;1;⚠️ RÓŻNICA (KNN:X XGB:1);40.0;44.0;16.0;53.9;27.1;19.0;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Norwich City vs Derby County;England 2;2.0 (1);48.3;27.0;24.7;1;✅ OBA ZGODNE (1);48.0;24.0;28.0;48.5;25.2;26.3;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Cambridge United vs Grimsby Town;England 4;1.9 (1);45.8;29.1;25.1;1;✅ OBA ZGODNE (1);40.0;24.0;36.0;49.6;25.9;24.5;Brak/Odwolany;-;Odwolany;0.0
21 kwi;FK Jelgava vs Auda;Latvia 1;1.7 (2);27.5;44.8;27.7;2;✅ OBA ZGODNE (2);32.0;28.0;40.0;24.5;27.5;48.1;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Hereford vs Marine;England 6;4.33 (2);44.6;30.2;25.2;1;✅ OBA ZGODNE (1);48.0;28.0;24.0;42.4;23.4;34.3;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Mallorca vs Valencia CF;Spain 1;2.5 (1);44.5;29.2;26.3;1;✅ OBA ZGODNE (1);48.0;24.0;28.0;42.2;27.8;30.0;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Oxford United vs Wrexham;England 2;2.5 (1);33.1;40.9;25.9;2;⚠️ RÓŻNICA (KNN:2 XGB:1);28.0;24.0;48.0;36.6;27.2;36.2;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Bradford City vs Plymouth Argyle;England 3;2.6 (2);39.3;31.9;28.7;1;⚠️ RÓŻNICA (KNN:2 XGB:1);32.0;28.0;40.0;44.2;29.2;26.6;Brak/Odwolany;-;Odwolany;0.0
22 kwi;Deportivo Merlo vs Comunicaciones;Argentina 3;3.0 (2);38.2;28.5;33.4;1;⚠️ RÓŻNICA (KNN:X XGB:1);36.0;40.0;24.0;39.6;29.0;31.4;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Cheltenham Town vs Tranmere Rovers;England 4;2.37 (1);35.7;35.0;29.3;1;⚠️ RÓŻNICA (KNN:2 XGB:1);32.0;32.0;36.0;38.1;27.5;34.4;Brak/Odwolany;-;Odwolany;0.0
21 kwi;Girona vs Real Betis;Spain 1;2.37 (1);32.8;34.7;32.5;2;⚠️ RÓŻNICA (KNN:2 XGB:1);24.0;36.0;40.0;38.6;30.2;31.2;Brak/Odwolany;-;Odwolany;0.0
