Godzina;Mecz;Liga;Kurs [Faworyt];% Over 1.5;% Over 2.5;% BTTS;Sugestia_OU;Wynik_Gole;Over_05_Real;Over_15_Real;Over_25_Real;BTTS_Real;Status_Over_15;Status_Over_25;Status_BTTS;Zysk_Over_15;Zysk_Over_25;Zysk_BTTS
19 kwi;FC Santa Coloma vs Esperança dAndorra;Andorra 1;1.09 (1);89.5;76.4;49.3;Over 1.5 (90%) | Over 2.5 (76%);4:0;TAK;TAK;TAK;NIE;WYGRANA;WYGRANA;Nie typowano;25.0;80.0;0.0
19 kwi;Pistoiese vs Coriano;Italy 4;1.12 (1);88.1;74.0;50.2;Over 1.5 (88%) | Over 2.5 (74%);0:1;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;PRZEGRANA;-100.0;-100.0;-100.0
19 kwi;UD Ibiza vs Sevilla II;Spain 3;1.14 (1);86.8;73.3;50.7;Over 1.5 (87%) | Over 2.5 (73%);0:1;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;PRZEGRANA;-100.0;-100.0;-100.0
19 kwi;Faetano vs Tre Fiori;San Marino 1;1.1 (2);88.1;70.6;45.5;Over 1.5 (88%) | Over 2.5 (71%);0:1;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;Nie typowano;-100.0;-100.0;0.0
19 kwi;Reggina vs Paterno;Italy 4;1.16 (1);81.9;67.8;47.0;Over 1.5 (82%) | Over 2.5 (68%);2:0;TAK;TAK;NIE;NIE;WYGRANA;PRZEGRANA;Nie typowano;25.0;-100.0;0.0
19 kwi;FC Porto vs Tondela;Portugal 1;1.18 (1);83.7;67.1;50.6;Over 1.5 (84%) | Over 2.5 (67%);2:0;TAK;TAK;NIE;NIE;WYGRANA;PRZEGRANA;PRZEGRANA;25.0;-100.0;-100.0
19 kwi;San Marino Calcio vs Teramo;Italy 4;1.2 (2);84.4;67.0;50.4;Over 1.5 (84%) | Over 2.5 (67%);1:3;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;WYGRANA;25.0;80.0;75.0
19 kwi;Internacional vs Mirassol;Brazil 1;1.72 (1);77.1;65.6;52.3;Over 1.5 (77%) | Over 2.5 (66%);1:2;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;WYGRANA;25.0;80.0;75.0
19 kwi;Cosenza vs Trapani;Italy 3;1.48 (1);75.1;60.0;51.5;Over 1.5 (75%) | Over 2.5 (60%);1:0;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;PRZEGRANA;-100.0;-100.0;-100.0
19 kwi;Viettel vs Hoang Anh Gia Lai;Vietnam 1;1.33 (1);79.9;59.1;51.4;Over 1.5 (80%);1:0;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;PRZEGRANA;-100.0;-100.0;-100.0
