Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;AI_Werdykt;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
21:30;Mount Pleasant vs Spanish Town Police FC;Jamaica 1;1.09 (1);93.0;4.0;3.1;1;✅ Brak zagrożeń.;;;;Brak/Odwolany;-;Odwolany;0.0
23:00;Internacional Palmira vs Tigres FC;Colombia 2;1.61 (1);69.5;12.9;17.6;1;✅ Brak zagrożeń.;;;;1;2:1;WYGRANA;61.0
22:00;Union Magdalena vs Real Santander;Colombia 2;1.4 (1);66.7;11.3;22.0;1;✅ Brak zagrożeń.;;;;1;2:0;WYGRANA;40.0
16:00;Al-Karma vs Al Mosul;Iraq 1;5.5 (2);63.7;9.5;26.7;1;Oczekuje na skan...;;;;X;1:1;PRZEGRANA;-100.0
22:00;Cavalier SC vs Dunbeholden;Jamaica 1;1.57 (1);63.0;11.1;25.9;1;Oczekuje na skan...;;;;2;0:2;PRZEGRANA;-100.0
21:00;Escorpiones vs CS Uruguay;Costa Rica 2;1.53 (1);61.5;16.2;22.3;1;Oczekuje na skan...;;;;1;2:0;WYGRANA;53.0
13:30;Al Quwa Al Jawiya vs Al Karkh;Iraq 1;1.57 (1);59.9;17.2;23.0;1;Oczekuje na skan...;;;;1;1:0;WYGRANA;57.0
21:00;Cariari vs Pitbulls;Costa Rica 2;1.9 (1);53.3;22.2;24.5;1;Oczekuje na skan...;;;;X;2:2;PRZEGRANA;-100.0
16:00;Canon Sportif vs Gazelle;Cameroon 1;1.75 (1);49.5;21.9;28.6;1;Oczekuje na skan...;;;;2;1:2;PRZEGRANA;-100.0
21:30;Portmore United vs Waterhouse FC;Jamaica 1;3.1 (2);35.6;43.3;21.1;2;Oczekuje na skan...;;;;1;2:1;PRZEGRANA;-100.0
jutro 00:00;Independiente Yumbo vs Patriotas;Colombia 2;2.25 (1);35.4;38.6;26.0;2;Oczekuje na skan...;;;;Brak/Odwolany;-;Odwolany;0.0
21:30;Treasure Beach vs Arnett Gardens;Jamaica 1;2.15 (2);33.7;38.3;27.9;2;Oczekuje na skan...;;;;X;0:0;PRZEGRANA;-100.0
18:00;Unisport Bafang vs Coton Sport;Cameroon 1;2.55 (1);31.7;37.3;30.9;2;Oczekuje na skan...;;;;1;1:0;PRZEGRANA;-100.0
jutro 00:00;Recoleta vs Rubio Nu;Paraguay 1;2.9 (2);34.4;28.4;37.2;X;Oczekuje na skan...;;;;Brak/Odwolany;-;Odwolany;0.0
13:30;Zakho vs Al Shorta;Iraq 1;2.9 (1);34.7;35.9;29.4;2;Oczekuje na skan...;;;;2;0:2;WYGRANA;0.0
