Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
20:00;Al Nassr FC vs Al-Ettifaq;Saudi Arabia 1;1.16 (1);82.9;6.0;11.1;1;1.14;0.02;Stabilnie;1;1:0;WYGRANA;15.999999999999986
20:45;Luton Town vs Northampton Town;England 3;1.28 (1);69.9;13.2;16.9;1;1.45;-0.17;GRUBA GRA (Spadek);1;2:1;WYGRANA;28.0
19:00;Altonaer FC 93 vs Oldenburg;Germany 4;1.25 (2);12.0;69.9;18.1;2;;;;2;0:4;WYGRANA;25.0
18:00;Brno vs Viktoria Žižkov;Czech Republic 2;1.27 (1);69.6;11.5;18.9;1;;;;1;1:0;WYGRANA;27.0
18:30;Djoliba vs Onze Créateurs;Mali 1;1.33 (1);69.2;10.5;20.3;1;1.36;-0.02;Stabilnie;1;1:0;WYGRANA;33.0
17:00;Sparta Prague B vs SK Lisen;Czech Republic 2;1.48 (2);15.3;65.6;19.1;2;;;;2;1:3;WYGRANA;48.0
15:00;Reggina vs Enna;Italy 4;1.42 (1);64.4;9.6;26.0;1;;;;1;2:1;WYGRANA;42.0
23:00;Cacahuatique vs HÃ©rcules;El Salvador 1;1.5 (1);64.3;11.6;24.1;1;;;;2;1:2;PRZEGRANA;-100.0
18:00;Al-Hussein SC vs Ramtha SC;Jordan 1;1.45 (1);63.0;15.4;21.5;1;;;;1;3:0;WYGRANA;45.0
20:00;Azam FC vs JKT Tanzania;Tanzania 1;1.45 (1);62.7;15.7;21.6;1;;;;Brak/Odwolany;-;Odwolany;0.0
17:30;Milazzo vs Vigor Lamezia;Italy 4;1.72 (2);18.6;59.6;21.8;2;;;;X;0:0;PRZEGRANA;-100.0
17:00;NKP Podhale vs SokÃ³Å‚ Kleczew;Poland 3;1.48 (1);57.1;19.9;22.9;1;;;;1;4:0;WYGRANA;48.0
20:30;Binga vs Derby AcadÃ©mie;Mali 1;5.0 (2);56.8;21.8;21.4;1;;;;X;0:0;PRZEGRANA;-100.0
19:30;Arda Kardzhali vs Łudogorec Razgrad;Bulgaria 1;1.53 (2);22.6;56.3;21.1;2;;;;1;1:0;PRZEGRANA;-100.0
19:30;FC Zuerich II vs FC Kreuzlingen;Switzerland 3;1.65 (1);55.8;20.4;23.7;1;;;;X;1:1;PRZEGRANA;-100.0
18:00;Ústí nad Labem vs MFK Chrudim;Czech Republic 2;1.57 (1);54.9;22.2;22.8;1;;;;1;1:0;WYGRANA;57.0
19:00;Vevey vs Breitenrain;Switzerland 3;1.55 (2);19.6;54.0;26.4;2;;;;X;2:2;PRZEGRANA;-100.0
19:30;Bulle vs Lausanne II;Switzerland 3;1.83 (1);53.1;23.4;23.5;1;;;;1;5:1;WYGRANA;83.0
22:30;Spanish Town Police FC vs Molynes United;Jamaica 1;3.7 (1);27.1;52.8;20.1;2;;;;2;0:9;WYGRANA;0.0
17:00;Hanácká vs SK Prostejov;Czech Republic 2;1.65 (1);52.4;22.5;25.1;1;;;;X;0:0;PRZEGRANA;-100.0
18:00;FK MAS Taborsko vs Budejovice;Czech Republic 2;5.5 (2);52.1;21.2;26.7;1;;;;1;1:0;WYGRANA;0.0
17:00;Metalist 1925 vs Veres Rivne;Ukraine 1;4.75 (2);51.2;26.5;22.4;1;;;;1;4:0;WYGRANA;0.0
18:30;Paradiso vs Lugano II;Switzerland 3;1.85 (1);50.8;23.4;25.7;1;;;;X;1:1;PRZEGRANA;-100.0
19:00;RW Erfurt vs VSG Altglienicke;Germany 4;1.9 (1);49.9;25.0;25.1;1;;;;X;1:1;PRZEGRANA;-100.0
20:45;Sporting Escaldes vs CE Casa de Portugal;Andorra 2;2.2 (1);49.1;23.1;27.8;1;;;;X;1:1;PRZEGRANA;-100.0
22:00;CD UT Cajamarca vs Sport Huancayo;Peru 1;2.1 (1);47.9;24.8;27.3;1;;;;X;2:2;PRZEGRANA;-100.0
18:00;Warta Poznań vs Slask Wroclaw ll;Poland 3;4.75 (2);47.7;27.7;24.6;1;;;;X;1:1;PRZEGRANA;-100.0
18:00;Schoeningen vs Blau-Weiss Lohne;Germany 4;2.15 (1);47.3;27.4;25.4;1;;;;X;1:1;PRZEGRANA;-100.0
22:30;Portmore United vs Cavalier SC;Jamaica 1;1.95 (1);46.5;26.3;27.2;1;;;;X;0:0;PRZEGRANA;-100.0
18:00;FC Vlasim vs Pribram;Czech Republic 2;1.9 (1);46.5;25.0;28.5;1;;;;X;0:0;PRZEGRANA;-100.0
23:00;Aurora vs Marquense;Guatemala 1;2.05 (1);46.2;20.3;33.5;1;;;;2;0:1;PRZEGRANA;-100.0
18:00;Basel II vs Schaffhausen;Switzerland 3;2.3 (2);30.1;45.6;24.3;2;;;;1;2:1;PRZEGRANA;-100.0
19:30;Bavois vs FC Grand-Saconnex;Switzerland 3;2.6 (2);45.2;30.4;24.4;1;;;;1;2:0;WYGRANA;0.0
17:00;Czerno More Warna vs CSKA 1948;Bulgaria 1;2.75 (2);44.9;29.5;25.5;1;;;;2;0:4;PRZEGRANA;-100.0
19:30;Magesi FC vs Kaizer Chiefs;South Africa 1;1.95 (2);28.0;44.5;27.5;2;;;;2;1:4;WYGRANA;95.0
17:00;Borussia Moenchengladbach II vs Borussia Dortmund II;Germany 4;1.9 (2);27.5;43.8;28.7;2;;;;1;2:1;PRZEGRANA;-100.0
17:00;Banik Ostrava II vs Opava;Czech Republic 2;2.3 (2);29.0;43.6;27.4;2;;;;1;2:0;PRZEGRANA;-100.0
18:30;USFAS Bamako vs Réal Bamako;Mali 1;2.37 (2);28.1;43.0;28.8;2;;;;1;2:1;PRZEGRANA;-100.0
20:45;Stourbridge vs Needham Market;England 7;3.8 (1);27.7;43.0;29.4;2;;;;2;0:1;WYGRANA;0.0
20:45;AFC Wimbledon vs Stockport;England 3;1.9 (2);26.3;42.8;30.8;2;;;;2;0:2;WYGRANA;90.0
15:00;Nkwazi vs NAPSA Stars FC;Zambia 1;2.37 (1);42.8;30.6;26.6;1;;;;1;2:1;WYGRANA;137.0
19:30;SC Bruehl vs Kriens;Switzerland 3;2.25 (1);42.5;29.7;27.8;1;;;;1;4:1;WYGRANA;125.0
18:30;NK Celje vs Olimpija Lublana;Slovenia 1;1.85 (1);42.3;30.4;27.4;1;;;;1;2:0;WYGRANA;85.0
17:00;Slavia Prague B vs Jihlava;Czech Republic 2;2.1 (1);41.7;30.1;28.3;1;;;;1;1:0;WYGRANA;110.0
22:30;Dunbeholden vs Racing United;Jamaica 1;3.2 (1);40.3;36.6;23.1;1;;;;X;0:0;PRZEGRANA;-100.0
