Match_ID;Team_Name;Type;Date;Opponent;Score;GD;Points;Result;Role;Competition
M_1_Espanyol_vs_Oviedo;Espanyol;home_overall;01.03.26;Elche;2:2;0;1;R;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_overall;21.02.26;Atl. Madryt;4:2;-2;0;P;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_overall;14.02.26;Celta Vigo;2:2;0;1;R;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_overall;09.02.26;Villarreal;4:1;-3;0;P;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_overall;30.01.26;Alaves;1:2;-1;0;P;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_overall;24.01.26;Valencia;3:2;-1;0;P;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_overall;04.03.26;Vallecano;3:0;-3;0;P;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_overall;28.02.26;Atl. Madryt;0:1;-1;0;P;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_overall;21.02.26;Real Sociedad;3:3;0;1;R;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_overall;15.02.26;Ath. Bilbao;1:2;-1;0;P;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_overall;31.01.26;Girona;1:0;1;3;W;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_overall;25.01.26;Barcelona;3:0;-3;0;P;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_home;14.02.26;Celta Vigo;2:2;0;1;R;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_home;30.01.26;Alaves;1:2;-1;0;P;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_home;16.01.26;Girona;0:2;-2;0;P;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_home;03.01.26;Barcelona;0:2;-2;0;P;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_home;07.12.25;Vallecano;1:0;1;3;W;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Espanyol;home_home;24.11.25;Sevilla;2:1;1;3;W;HOME;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_away;04.03.26;Vallecano;3:0;-3;0;P;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_away;21.02.26;Real Sociedad;3:3;0;1;R;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_away;25.01.26;Barcelona;3:0;-3;0;P;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_away;17.01.26;Osasuna;3:2;-1;0;P;AWAY;LaLiga (Hiszpania)
M_1_Espanyol_vs_Oviedo;Oviedo;away_away;04.01.26;Alaves;1:1;0;1;R;AWAY;LaLiga (Hiszpania)
